Journal Report 1 (R4)	Number of Successful Full-Text Article Requests by Month and Journal																				
Universität Regensburg																					
2000374973																					
Period covered by Report:																					
2014-01-01 to 2014-12-31																					
Date run:																					
2015-03-17																					
Journal	Publisher	Platform	Journal DOI	Proprietary Identifier	Print ISSN	Online ISSN	Reporting Period Total	Reporting Period HTML	Reporting Period PDF	Jan-2014	Feb-2014	Mar-2014	Apr-2014	May-2014	Jun-2014	Jul-2014	Aug-2014	Sep-2014	Oct-2014	Nov-2014	Dec-2014
Acta Diabetologica	Springer	SpringerLink	10.1007/592.1432-5233	592	0940-5429	1432-5233	22	2	18	1	1	1	1	3	3	3	3	1	2	2	1
Acta Endoscopica	Springer	SpringerLink	10.1007/10190.1958-5454	10190	0240-642X	1958-5454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acta Geodaetica et Geophysica	Springer	SpringerLink		40328	2213-5812	2213-5820	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acta Geophysica	Springer	SpringerLink		11600	1895-6572	1895-7455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acta Geotechnica	Springer	SpringerLink	10.1007/11440.1861-1133	11440	1861-1125	1861-1133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acta Informatica	Springer	SpringerLink	10.1007/236.1432-0525	236	0001-5903	1432-0525	5	0	3	0	1	1	0	1	2	0	0	0	0	0	0
Acta Juridica Hungarica	Springer	SpringerLink		10467	1216-2574	1588-2616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acta Linguistica Hungarica	Springer	SpringerLink		10445	1216-8076	1588-2624	3	0	0	2	0	0	0	0	0	0	0	0	1	0	0
Acta Mathematica	Springer	SpringerLink	10.1007/11511.1871-2509	11511	0001-5962	1871-2509	90	0	63	11	8	3	3	10	9	7	6	2	16	7	8
Acta Mathematica Hungarica	Springer	SpringerLink	10.1007/10474.1588-2632	10474	0236-5294	1588-2632	3	0	2	1	0	0	2	0	0	0	0	0	0	0	0
Acta Mathematica Sinica, English Series	Springer	SpringerLink	10.1007/10114.1439-7617	10114	1439-8516	1439-7617	3	0	1	0	0	0	0	0	1	0	0	0	2	0	0
Acta Mathematica Vietnamica	Springer	SpringerLink		40306	0251-4184	2315-4144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acta Mathematicae Applicatae Sinica, English Series	Springer	SpringerLink		10255	0168-9673	1618-3932	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Acta Mechanica	Springer	SpringerLink	10.1007/707.1619-6937	707	0001-5970	1619-6937	8	0	4	0	0	2	0	2	0	0	0	1	0	3	0
Acta Mechanica Sinica	Springer	SpringerLink	10.1007/10409.1614-3116	10409	0567-7718	1614-3116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acta Metallurgica Sinica (English Letters)	Springer	SpringerLink		40195	1006-7191	2194-1289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acta Neurochirurgica	Springer	SpringerLink	10.1007/701.0942-0940	701	0001-6268	0942-0940	206	10	180	21	41	13	12	10	10	10	18	5	17	20	29
Acta Neurologica Belgica	Springer	SpringerLink	10.1007/13760.2240-2993	13760	0300-9009	2240-2993	7	0	5	2	0	0	1	0	1	0	0	1	0	2	0
Acta Neuropathologica	Springer	SpringerLink	10.1007/401.1432-0533	401	0001-6322	1432-0533	153	15	117	12	4	10	9	16	19	6	22	14	29	7	5
Acta Neuropathologica Communications	Springer	SpringerLink		40478		2051-5960	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acta Oceanologica Sinica	Springer	SpringerLink	10.1007/13131.1869-1099	13131	0253-505X	1869-1099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acta Parasitologica	Springer	SpringerLink		11686	1230-2821	1896-1851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acta Physica Academiae Scientiarum Hungaricae	Springer	SpringerLink		12658	0001-6705		8	0	4	0	0	0	0	1	2	1	0	2	0	0	2
Acta Physica Hungarica	Springer	SpringerLink		12242	0231-4428		2	0	1	0	0	0	0	0	2	0	0	0	0	0	0
Acta Physica Hungarica A) Heavy Ion Physics	Springer	SpringerLink		12657	1589-9535	1786-3767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acta Physica Hungarica Series A, Heavy Ion Physics	Springer	SpringerLink		12656	1219-7580	1588-2675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acta Physiologiae Plantarum	Springer	SpringerLink	10.1007/11738.1861-1664	11738	0137-5881	1861-1664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acta Veterinaria Scandinavica	Springer	SpringerLink		13028		1751-0147	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Adaptive Human Behavior and Physiology	Springer	SpringerLink		40750		2198-7335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Addiction Science & Clinical Practice	Springer	SpringerLink		13722		1940-0640	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Administration and Policy in Mental Health and Mental Health Services Research	Springer	SpringerLink	10.1007/10488.1573-3289	10488	0894-587X	1573-3289	5	0	5	0	0	0	0	1	0	0	0	0	1	0	3
Adsorption	Springer	SpringerLink	10.1007/10450.1572-8757	10450	0929-5607	1572-8757	3	0	1	0	0	0	0	0	1	0	2	0	0	0	0
Advanced Modeling and Simulation in Engineering Sciences	Springer	SpringerLink		40323		2213-7467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Advanced Performance Materials	Springer	SpringerLink		10491	0929-1881	1572-8765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Advances in Applied Clifford Algebras	Springer	SpringerLink	10.1007/6.1661-4909	6	0188-7009	1661-4909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Advances in Atmospheric Sciences	Springer	SpringerLink	10.1007/376.1861-9533	376	0256-1530	1861-9533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Advances in Computational Mathematics	Springer	SpringerLink	10.1007/10444.1572-9044	10444	1019-7168	1572-9044	18	0	16	7	0	1	5	0	1	0	1	0	0	0	3
Advances in Contraception	Springer	SpringerLink		10451	0267-4874	1573-7195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Advances in Data Analysis and Classification	Springer	SpringerLink	10.1007/11634.1862-5355	11634	1862-5347	1862-5355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Advances in Difference Equations	Springer	SpringerLink	10.1007/13662.1687-1847	13662		1687-1847	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Advances in Gerontology	Springer	SpringerLink	10.1134/13329.2079-0589	13329	2079-0570	2079-0589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Advances in Health Sciences Education	Springer	SpringerLink	10.1007/10459.1573-1677	10459	1382-4996	1573-1677	34	0	25	4	0	5	1	7	10	0	0	1	2	3	1
Advances in Manufacturing	Springer	SpringerLink		40436	2095-3127	2195-3597	2	0	1	0	0	0	0	0	0	0	0	2	0	0	0
Advances in Therapy	Springer	SpringerLink	10.1007/12325.1865-8652	12325	0741-238X	1865-8652	21	0	18	2	6	2	0	1	3	1	0	2	1	2	1
Aegean Review of the Law of the Sea and Maritime Law	Springer	SpringerLink		12180	1864-9610	1864-9629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aequationes mathematicae	Springer	SpringerLink	10.1007/10.1420-8903	10	0001-9054	1420-8903	6	0	3	1	0	0	1	1	0	0	0	0	0	3	0
Aerobiologia	Springer	SpringerLink	10.1007/10453.1573-3025	10453	0393-5965	1573-3025	4	0	2	0	0	0	0	0	0	0	0	0	0	4	0
Aesthetic Plastic Surgery	Springer	SpringerLink	10.1007/266.1432-5241	266	0364-216X	1432-5241	95	4	78	5	19	3	7	1	5	16	6	10	6	4	13
African Archaeological Review	Springer	SpringerLink	10.1007/10437.1572-9842	10437	0263-0338	1572-9842	3	0	2	1	1	1	0	0	0	0	0	0	0	0	0
African Journal of Urology	Springer	SpringerLink		12301	1110-5704	1961-9987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Afrika Matematika	Springer	SpringerLink	10.1007/13370.2190-7668	13370	1012-9405	2190-7668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ageing International	Springer	SpringerLink	10.1007/12126.1936-606X	12126	0163-5158	1936-606X	2	0	1	1	0	0	0	0	0	0	0	0	0	1	0
Aggiornamenti CIO	Springer	SpringerLink	10.1007/10351.1970-6847	10351	1970-6839	1970-6847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aging Clinical and Experimental Research	Springer	SpringerLink		40520	1720-8319	1720-8319	7	0	6	0	0	0	0	1	0	1	2	3	0	0	0
Agricultural Research	Springer	SpringerLink	10.1007/40003.2249-7218	40003	2249-720X	2249-7218	2	0	1	0	0	0	0	0	0	0	0	0	2	0	0
Agricultural and Food Economics	Springer	SpringerLink	10.1007/40100.2193-7532	40100		2193-7532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Agriculture & Food Security	Springer	SpringerLink		40066		2048-7010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Agriculture and Human Values	Springer	SpringerLink	10.1007/10460.1572-8366	10460	0889-048X	1572-8366	2	0	1	0	0	1	0	0	0	1	0	0	0	0	0
Agroforestry Systems	Springer	SpringerLink	10.1007/10457.1572-9680	10457	0167-4366	1572-9680	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0
Agronomy for Sustainable Development	Springer	SpringerLink	10.1007/13593.1773-0155	13593	1774-0746	1773-0155	2	0	1	0	0	0	0	0	2	0	0	0	0	0	0
Air Quality, Atmosphere & Health	Springer	SpringerLink	10.1007/11869.1873-9326	11869	1873-9318	1873-9326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Algebra Colloquium	Springer	SpringerLink		10011	1005-3867	0219-1733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Algebra and Logic	Springer	SpringerLink	10.1007/10469.1573-8302	10469	0002-5232	1573-8302	2	0	1	0	0	2	0	0	0	0	0	0	0	0	0
Algebra universalis	Springer	SpringerLink	10.1007/12.1420-8911	12	0002-5240	1420-8911	4	0	2	1	0	0	2	0	0	0	0	1	0	0	0
Algebras and Representation Theory	Springer	SpringerLink	10.1007/10468.1572-9079	10468	1386-923X	1572-9079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Algorithmica	Springer	SpringerLink	10.1007/453.1432-0541	453	0178-4617	1432-0541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Algorithms for Molecular Biology	Springer	SpringerLink		13015		1748-7188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Allergo Journal	Springer	SpringerLink		15007	0941-8849	2195-6405	3	0	3	0	1	0	0	1	0	1	0	0	0	0	0
Allergo Journal International	Springer	SpringerLink		40629		2197-0378	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0
Allergy, Asthma & Clinical Immunology	Springer	SpringerLink		13223		1710-1492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alpine Botany	Springer	SpringerLink	10.1007/35.1664-221X	35	1664-2201	1664-221X	38	3	22	4	0	2	3	0	7	1	4	3	7	6	1
Alzheimer's Research & Therapy	Springer	SpringerLink		13195		1758-9193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
American Journal of Cancer	Springer	SpringerLink		40280	1175-6357		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
American Journal of Cardiovascular Drugs	Springer	SpringerLink	10.1007/40256.1179-187X	40256	1175-3277	1179-187X	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0
American Journal of Clinical Dermatology	Springer	SpringerLink	10.1007/40257.1179-1888	40257	1175-0561	1179-1888	3	0	3	0	0	0	0	0	0	0	1	2	0	0	0
American Journal of Community Psychology	Springer	SpringerLink	10.1007/10464.1573-2770	10464	0091-0562	1573-2770	44	0	21	1	8	3	2	10	7	2	3	7	0	0	1
American Journal of Criminal Justice	Springer	SpringerLink	10.1007/12103.1936-1351	12103	1066-2316	1936-1351	2	0	2	0	1	0	1	0	0	0	0	0	0	0	0
American Journal of Dance Therapy	Springer	SpringerLink	10.1007/10465.1573-3262	10465	0146-3721	1573-3262	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
American Journal of Drug Delivery	Springer	SpringerLink		40281	1175-9038		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
American Journal of Pharmacogenomics	Springer	SpringerLink		40270	1175-2203		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
American Journal of Potato Research	Springer	SpringerLink	10.1007/12230.1874-9380	12230	1099-209X	1874-9380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amino Acids	Springer	SpringerLink	10.1007/726.1438-2199	726	0939-4451	1438-2199	107	7	83	13	10	13	9	7	5	11	4	13	3	13	6
Analog Integrated Circuits and Signal Processing	Springer	SpringerLink	10.1007/10470.1573-1979	10470	0925-1030	1573-1979	3	0	1	0	0	0	0	0	0	0	0	1	0	2	0
Analysis Mathematica	Springer	SpringerLink	10.1007/10476.1588-273X	10476	0133-3852	1588-273X	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Analysis and Mathematical Physics	Springer	SpringerLink	10.1007/13324.1664-235X	13324	1664-2368	1664-235X	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Analysis in Theory and Applications	Springer	SpringerLink		10496	1672-4070	1573-8175	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0
Analytical and Bioanalytical Chemistry	Springer	SpringerLink	10.1007/216.1618-2650	216	1618-2642	1618-2650	1120	82	721	127	85	105	110	150	83	79	48	64	71	104	94
Anatomical Science International	Springer	SpringerLink	10.1007/12565.1447-073X	12565	1447-6959	1447-073X	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Angewandte Schmerztherapie und Palliativmedizin	Springer	SpringerLink		15223	1866-1424	2196-6389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Angiogenesis	Springer	SpringerLink	10.1007/10456.1573-7209	10456	0969-6970	1573-7209	51	6	29	1	2	2	15	3	6	3	7	2	1	5	4
Animal Biotelemetry	Springer	SpringerLink		40317		2050-3385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Animal Cognition	Springer	SpringerLink	10.1007/10071.1435-9456	10071	1435-9448	1435-9456	38	1	24	6	1	5	9	7	2	2	0	0	1	4	1
Annalen der Philosophie	Springer	SpringerLink		12377	0165-0106	1866-6167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Annalen der Philosophie und philosophischen Kritik	Springer	SpringerLink		12375	0165-0106	1866-6175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Annales Geophysicae	Springer	SpringerLink		585	0992-7689	1432-0576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Annales Henri Poincaré	Springer	SpringerLink	10.1007/23.1424-0661	23	1424-0637	1424-0661	10	0	9	1	0	0	0	1	1	3	0	3	0	1	0
Annales françaises de médecine d'urgence	Springer	SpringerLink	10.1007/13341.2108-6591	13341	2108-6524	2108-6591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Annales mathématiques du Québec	Springer	SpringerLink		40316	2195-4755	2195-4763	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0
Annali di Matematica Pura ed Applicata (1923 -)	Springer	SpringerLink	10.1007/10231.1618-1891	10231	0373-3114	1618-1891	49	0	28	14	3	6	4	5	2	1	6	2	1	2	3
Annals of Behavioral Medicine	Springer	SpringerLink	10.1007/12160.1532-4796	12160	0883-6612	1532-4796	58	0	41	5	7	9	5	6	4	5	1	3	4	3	6
Annals of Biomedical Engineering	Springer	SpringerLink	10.1007/10439.1573-9686	10439	0090-6964	1573-9686	71	5	54	7	8	3	6	13	3	4	2	4	5	7	9
Annals of Clinical Microbiology and Antimicrobials	Springer	SpringerLink		12941		1476-0711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Annals of Clinical Psychiatry	Springer	SpringerLink		10442	1040-1237	1573-3238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Annals of Combinatorics	Springer	SpringerLink		26	0218-0006	0219-3094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Annals of Data Science	Springer	SpringerLink		40745	2198-5804	2198-5812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Annals of Diagnostic Paediatric Pathology	Springer	SpringerLink		10057	1427-4426	1509-5762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Annals of Dyslexia	Springer	SpringerLink	10.1007/11881.1934-7243	11881	0736-9387	1934-7243	9	1	8	1	1	0	0	0	2	0	4	0	0	0	1
Annals of Finance	Springer	SpringerLink	10.1007/10436.1614-2454	10436	1614-2446	1614-2454	5	0	4	0	1	1	0	0	0	0	0	2	0	1	0
Annals of Forest Science	Springer	SpringerLink	10.1007/13595.1297-966X	13595	1286-4560	1297-966X	3	0	2	0	0	0	0	0	0	1	0	0	2	0	0
Annals of General Psychiatry	Springer	SpringerLink		12991		1744-859X	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Annals of Global Analysis and Geometry	Springer	SpringerLink	10.1007/10455.1572-9060	10455	0232-704X	1572-9060	47	1	29	0	5	2	2	1	1	9	7	6	4	6	4
Annals of Hematology	Springer	SpringerLink	10.1007/277.1432-0584	277	0939-5555	1432-0584	109	8	87	19	11	7	8	6	6	14	7	8	7	8	8
Annals of Intensive Care	Springer	SpringerLink	10.1007/13613.2110-5820	13613		2110-5820	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Annals of Mathematics and Artificial Intelligence	Springer	SpringerLink	10.1007/10472.1573-7470	10472	1012-2443	1573-7470	2	0	1	0	1	0	0	1	0	0	0	0	0	0	0
Annals of Microbiology	Springer	SpringerLink	10.1007/13213.1869-2044	13213	1590-4261	1869-2044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Annals of Nuclear Medicine	Springer	SpringerLink	10.1007/12149.1864-6433	12149	0914-7187	1864-6433	14	0	12	5	0	0	2	1	4	2	0	0	0	0	0
Annals of Occupational and Environmental Medicine	Springer	SpringerLink		40557		2052-4374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Annals of Operations Research	Springer	SpringerLink	10.1007/10479.1572-9338	10479	0254-5330	1572-9338	66	4	44	9	13	1	8	3	7	3	4	4	2	6	6
Annals of Ophthalmology	Springer	SpringerLink		12009	1530-4086	1558-9951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Annals of Software Engineering	Springer	SpringerLink		10480	1022-7091	1573-7489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Annals of Solid and Structural Mechanics	Springer	SpringerLink	10.1007/12356.1867-6944	12356	1867-6936	1867-6944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Annals of Surgical Innovation and Research	Springer	SpringerLink		13022		1750-1164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
