Journal Report 1 (R3)	Number of Successful Full-Text Article Requests by Month and Journal																		
Account:C000032338:Regensburg University Library																			
Date run:																			
2014-07-18																			
	Publisher	Platform	Print ISSN	Online ISSN	Jan-2013	Feb-2013	Mar-2013	Apr-2013	May-2013	Jun-2013	Jul-2013	Aug-2013	Sep-2013	Oct-2013	Nov-2013	Dec-2013	YTD Total	YTD HTML	YTD PDF
Total for all journals					17758	16360	16299	16582	15625	14364	16597	14606	15881	16990	17444	11584	190090	91417	98666
Academic Pediatrics	Elsevier	ScienceDirect	1876-2859	1876-2867	3	0	0	0	0	0	0	0	0	0	0	0	3	0	3
Accident Analysis & Prevention	Elsevier	ScienceDirect	0001-4575		48	12	40	15	2	12	12	10	3	12	2	2	170	78	92
Accident and Emergency Nursing	Elsevier	ScienceDirect	0965-2302		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Accounting Forum	Elsevier	ScienceDirect	0155-9982		4	12	13	1	5	0	8	0	1	6	2	7	59	27	32
Accounting, Management and Information Technologies	Elsevier	ScienceDirect	0959-8022		3	0	0	0	0	0	0	0	0	0	0	0	3	0	3
Accounting, Organizations and Society	Elsevier	ScienceDirect	0361-3682		9	19	40	11	5	27	17	4	12	10	10	11	175	81	94
Acta Anaesthesiologica Taiwanica	Elsevier	ScienceDirect	1875-4597		0	0	0	0	0	0	0	0	0	0	0	2	2	1	1
Acta Astronautica	Elsevier	ScienceDirect	0094-5765		2	0	0	0	2	0	0	2	3	3	1	0	13	7	6
Acta Biomaterialia	Elsevier	ScienceDirect	1742-7061		0	0	0	0	2	0	1	0	2	0	1	0	6	2	4
Acta Histochemica	Elsevier	ScienceDirect	0065-1281		1	1	5	2	2	0	6	1	0	0	3	0	21	9	12
Acta Materialia	Elsevier	ScienceDirect	1359-6454		1	11	15	5	5	1	0	5	3	0	1	0	47	32	15
Acta Oecologica	Elsevier	ScienceDirect	1146-609X		0	0	0	0	0	0	2	2	1	0	3	2	10	5	5
Acta Oecologica	Elsevier	ScienceDirect	1146-609X		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acta Pharmaceutica Sinica B	Elsevier	ScienceDirect	2211-3835		0	0	0	0	7	0	2	2	1	1	2	1	16	12	4
Acta Psychologica	Elsevier	ScienceDirect	0001-6918		8	10	5	2	8	1	9	1	2	9	6	4	65	14	51
Acta Tropica	Elsevier	ScienceDirect	0001-706X		0	0	2	0	0	0	2	1	0	0	0	2	7	3	4
Acta Tropica	Elsevier	ScienceDirect	0001-706X		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Addictive Behaviors	Elsevier	ScienceDirect	0306-4603		0	12	5	2	4	7	3	11	17	4	0	1	66	24	42
Advanced Drug Delivery Reviews	Elsevier	ScienceDirect	0169-409X		8	16	19	3	13	9	6	13	7	14	23	2	133	60	73
Advances in Accounting	Elsevier	ScienceDirect	0882-6110	1046-5715	0	0	0	0	0	3	0	0	0	0	0	0	3	0	3
Advances in Anesthesia	Elsevier	ScienceDirect	0737-6146		0	0	0	0	0	0	0	0	0	1	0	0	1	0	1
Advances in Applied Mathematics	Elsevier	ScienceDirect	0196-8858	1090-2074	0	1	0	1	0	0	0	0	2	2	1	0	7	0	7
Advances in Behaviour Research and Therapy	Elsevier	ScienceDirect	0146-6402		0	0	2	0	2	1	2	0	0	1	1	0	9	0	9
Advances in Biological Regulation	Elsevier	ScienceDirect	2212-4926		0	0	0	0	0	0	0	2	0	2	0	0	4	2	2
Advances in Biophysics	Elsevier	ScienceDirect	0065-227X		0	0	0	1	0	0	0	0	0	0	0	1	2	0	2
Advances in Biophysics	Elsevier	ScienceDirect	0065-227X		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Advances in Colloid and Interface Science	Elsevier	ScienceDirect	0001-8686		3	18	8	10	3	0	5	3	13	2	7	2	74	37	37
Advances in Environmental Research	Elsevier	ScienceDirect	1093-0191		0	0	0	0	0	0	2	0	0	0	0	0	2	1	1
Advances in Enzyme Regulation	Elsevier	ScienceDirect	0065-2571		1	0	1	1	0	0	0	0	1	2	0	0	6	1	5
Advances in Free Radical Biology & Medicine	Elsevier	ScienceDirect	8755-9668		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Advances in Mathematics	Elsevier	ScienceDirect	0001-8708	1090-2082	4	8	2	4	1	3	2	5	2	7	5	3	46	0	46
Advances in Molecular Relaxation and Interaction Processes	Elsevier	ScienceDirect	0378-4487		0	1	0	0	0	0	0	0	1	0	0	0	2	0	2
Advances in Molecular Relaxation Processes	Elsevier	ScienceDirect	0001-8716		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Advances in Neuroimmunology	Elsevier	ScienceDirect	0960-5428		0	0	2	0	0	0	0	0	0	0	0	0	2	0	2
Advances in Space Research	Elsevier	ScienceDirect	0273-1177		2	1	0	0	0	0	0	0	0	0	1	1	5	0	5
Advances in Surgery	Elsevier	ScienceDirect	0065-3411		0	0	0	0	0	0	0	3	0	0	0	0	3	1	2
Advances in Water Resources	Elsevier	ScienceDirect	0309-1708		0	0	0	1	0	0	0	0	0	0	0	0	1	0	1
AeroMedical Journal	Elsevier	ScienceDirect	0894-8321		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aesthetic Surgery Journal	Elsevier	ScienceDirect	1090-820X		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
African Journal of Emergency Medicine	Elsevier	ScienceDirect	2211-419X		0	0	1	0	0	0	0	0	0	0	0	0	1	1	0
Ageing Research Reviews	Elsevier	ScienceDirect	1568-1637		0	0	0	4	0	0	0	1	1	0	1	0	7	6	1
Aggression and Violent Behavior	Elsevier	ScienceDirect	1359-1789		5	3	2	8	0	1	0	6	5	6	2	4	42	22	20
Agricultural Administration	Elsevier	ScienceDirect	0309-586X		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Agricultural Administration and Extension	Elsevier	ScienceDirect	0269-7475		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Agricultural and Forest Meteorology	Elsevier	ScienceDirect	0168-1923		3	0	0	1	0	0	0	0	0	0	1	0	5	1	4
Agricultural Economics	Elsevier	ScienceDirect	0169-5150		2	0	1	0	0	0	0	0	0	0	0	0	3	0	3
Agricultural Meteorology	Elsevier	ScienceDirect	0002-1571		0	0	0	1	0	0	0	0	0	0	0	0	1	0	1
Agricultural Systems	Elsevier	ScienceDirect	0308-521X	1873-2267	0	0	0	0	0	0	0	0	1	1	8	0	10	4	6
Agricultural Systems	Elsevier	ScienceDirect	0308-521X	1873-2267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Agricultural Wastes	Elsevier	ScienceDirect	0141-4607		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Agricultural Water Management	Elsevier	ScienceDirect	0378-3774		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Agriculture and Environment	Elsevier	ScienceDirect	0304-1131		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Agriculture, Ecosystems & Environment	Elsevier	ScienceDirect	0167-8809		19	3	2	8	3	2	14	11	10	4	7	2	85	36	49
Agro-Ecosystems	Elsevier	ScienceDirect	0304-3746		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Air & Space Europe	Elsevier	ScienceDirect	1290-0958		0	0	0	0	0	0	0	1	0	0	1	0	2	0	2
Air Medical Journal	Elsevier	ScienceDirect	1067-991X	1532-6497	0	0	4	0	0	0	0	0	0	1	0	0	5	0	5
Air Medical Journal	Elsevier	ScienceDirect	1067-991X	1532-6497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aircraft Design	Elsevier	ScienceDirect	1369-8869		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alcohol	Elsevier	ScienceDirect	0741-8329		1	1	0	4	5	0	3	4	3	8	0	0	29	13	16
Alexandria Engineering Journal	Elsevier	ScienceDirect	1110-0168		0	0	0	0	0	0	0	0	0	1	1	0	2	1	1
Alzheimer's & Dementia	Elsevier	ScienceDirect	1552-5260	1552-5279	0	0	0	0	0	0	0	0	0	2	0	0	2	1	1
Ambulatory Surgery	Elsevier	ScienceDirect	0966-6532		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
American Heart Journal	Elsevier	ScienceDirect	0002-8703	1097-6744	20	21	29	23	37	39	21	22	26	24	43	14	319	172	147
American Journal of Hypertension	Elsevier	ScienceDirect	0895-7061		1	0	14	3	0	0	0	0	2	3	2	1	26	16	10
American Journal of Infection Control	Elsevier	ScienceDirect	0196-6553		2	4	1	0	0	0	0	0	1	0	0	0	8	1	7
American Journal of Kidney Diseases	Elsevier	ScienceDirect	0272-6386	1523-6838	29	25	24	12	38	30	13	10	15	27	13	29	265	123	142
American Journal of Obstetrics and Gynecology	Elsevier	ScienceDirect	0002-9378	1097-6868	10	31	2	12	13	19	25	9	50	28	17	34	250	85	165
American Journal of Ophthalmology	Elsevier	ScienceDirect	0002-9394		57	23	28	19	53	17	29	37	43	22	52	12	392	192	200
American Journal of Orthodontics	Elsevier	ScienceDirect	0002-9416		13	10	15	8	2	13	9	7	2	1	3	1	84	0	84
American Journal of Orthodontics and Dentofacial Orthopedics	Elsevier	ScienceDirect	0889-5406	1097-6752	21	68	70	46	30	80	128	61	57	34	16	38	649	296	353
American Journal of Orthodontics and Oral Surgery	Elsevier	ScienceDirect	0096-6347		0	0	0	0	0	3	0	0	0	0	0	0	3	0	3
American Journal of Otolaryngology	Elsevier	ScienceDirect	0196-0709	1532-818X	6	0	0	0	0	0	2	0	0	1	0	0	9	6	3
American Journal of Preventive Medicine	Elsevier	ScienceDirect	0749-3797		3	2	3	1	2	4	1	2	10	1	4	0	33	17	16
Anaerobe	Elsevier	ScienceDirect	1075-9964	1095-8274	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1
Analysis and Intervention in Developmental Disabilities	Elsevier	ScienceDirect	0270-4684		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Analytica Chimica Acta	Elsevier	ScienceDirect	0003-2670		96	83	68	104	82	60	67	76	101	107	49	68	961	531	430
Analytical Biochemistry	Elsevier	ScienceDirect	0003-2697	1096-0309	93	86	101	77	60	73	69	104	85	82	67	65	962	342	620
Anesthesiology Clinics	Elsevier	ScienceDirect	1932-2275		1	0	0	1	0	0	1	2	0	4	0	0	9	4	5
Anesthesiology Clinics of North America	Elsevier	ScienceDirect	0889-8537		2	0	0	0	0	0	1	70	1	0	0	0	74	40	34
Animal Behaviour	Elsevier	ScienceDirect	0003-3472	1095-8282	79	38	58	64	72	49	61	42	103	90	79	44	779	377	402
Animal Behaviour Monographs	Elsevier	ScienceDirect	0066-1856		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Animal Feed Science and Technology	Elsevier	ScienceDirect	0377-8401		3	0	2	0	2	0	0	2	0	2	0	0	11	5	6
Animal Reproduction Science	Elsevier	ScienceDirect	0378-4320		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Annales d'Urologie	Elsevier	ScienceDirect	0003-4401		1	0	0	0	0	0	0	0	0	0	0	0	1	0	1
Annales de Chirurgie	Elsevier	ScienceDirect	0003-3944		0	0	2	0	0	0	0	0	0	0	0	0	2	1	1
Annales de Chirurgie de la Main	Elsevier	ScienceDirect	0753-9053		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Annales de Chirurgie de la Main et du Membre Sup̩rieur	Elsevier	ScienceDirect	1153-2424		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Annales de Chirurgie Plastique Esth̩tique	Elsevier	ScienceDirect	0294-1260	1768-319X	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Annales de G̩n̩tique	Elsevier	ScienceDirect	0003-3995		2	0	0	0	0	0	0	0	0	0	0	0	2	1	1
Annales de l'Institut Henri Poincare (C) Non Linear Analysis	Elsevier	ScienceDirect	0294-1449		7	5	3	4	2	5	1	3	0	1	0	0	31	2	29
Annales de l'Institut Pasteur / Immunologie	Elsevier	ScienceDirect	0769-2625		0	0	0	1	0	0	0	0	0	0	0	0	1	0	1
Annales de l'Institut Pasteur / Microbiologie	Elsevier	ScienceDirect	0769-2609		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Annales de l'Institut Pasteur / Virologie	Elsevier	ScienceDirect	0769-2617		2	0	0	0	0	0	0	0	0	0	0	0	2	0	2
Annales de Pal̩ontologie	Elsevier	ScienceDirect	0753-3969		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Annales de R̩adaptation et de M̩decine Physique	Elsevier	ScienceDirect	0168-6054		0	0	0	0	4	0	0	0	0	0	0	0	4	2	2
Annales des Sciences Naturelles - Zoologie et Biologie Animale	Elsevier	ScienceDirect	0003-4339		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Annales Fran̤aises d'Anesth̩sie et de R̩animation	Elsevier	ScienceDirect	0750-7658		0	0	0	0	0	0	1	0	0	0	0	0	1	0	1
Annales M̩dico-psychologiques, revue psychiatrique	Elsevier	ScienceDirect	0003-4487		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Annals of Allergy, Asthma & Immunology	Elsevier	ScienceDirect	1081-1206	1534-4436	0	0	0	0	0	0	0	0	0	2	0	0	2	2	0
Annals of Anatomy - Anatomischer Anzeiger	Elsevier	ScienceDirect	0940-9602		11	0	1	8	0	2	15	6	4	2	0	0	49	21	28
Annals of Botany	Elsevier	ScienceDirect	0305-7364		0	0	0	0	0	0	1	0	0	0	0	0	1	0	1
Annals of Diagnostic Pathology	Elsevier	ScienceDirect	1092-9134	1532-8198	2	1	4	1	0	0	2	1	1	2	0	2	16	11	5
Annals of Emergency Medicine	Elsevier	ScienceDirect	0196-0644	1097-6760	2	14	11	12	11	8	21	3	10	23	17	10	142	68	74
Annals of Epidemiology	Elsevier	ScienceDirect	1047-2797		0	3	4	2	0	5	0	4	13	2	5	3	41	12	29
Annals of Mathematical Logic	Elsevier	ScienceDirect	0003-4843		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Annals of Physical and Rehabilitation Medicine	Elsevier	ScienceDirect	1877-0657		0	0	0	0	0	0	0	0	0	0	2	0	2	1	1
Annals of Physics	Elsevier	ScienceDirect	0003-4916	1096-035X	9	3	12	15	17	17	26	9	19	32	22	26	207	29	178
Annals of Pure and Applied Logic	Elsevier	ScienceDirect	0168-0072		0	2	0	0	1	0	0	1	0	0	0	0	4	0	4
Annals of the ICRP	Elsevier	ScienceDirect	0146-6453		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Annals of the ICRP/ICRP Publication	Elsevier	ScienceDirect	0074-2740		0	0	0	0	0	0	0	2	0	0	0	0	2	0	2
Annals of Tourism Research	Elsevier	ScienceDirect	0160-7383		1	0	0	0	0	11	2	0	0	0	13	0	27	5	22
Annals of Vascular Surgery	Elsevier	ScienceDirect	0890-5096	1615-5947	0	0	3	3	5	1	13	2	1	0	1	1	30	10	20
Annual Review of Fish Diseases	Elsevier	ScienceDirect	0959-8030		0	0	0	1	0	0	0	0	0	0	0	0	1	0	1
Annual Reviews in Control	Elsevier	ScienceDirect	1367-5788		0	0	0	0	0	0	0	0	0	1	0	0	1	0	1
Antimicrobic Newsletter	Elsevier	ScienceDirect	0738-1751		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Antimicrobics and Infectious Diseases Newsletter	Elsevier	ScienceDirect	1069-417X		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Antiviral Research	Elsevier	ScienceDirect	0166-3542		3	17	1	2	3	4	5	1	6	8	4	4	58	36	22
APCBEE Procedia	Elsevier	ScienceDirect	2212-6708		1	0	0	0	1	0	0	0	1	0	0	1	4	0	4
Appetite	Elsevier	ScienceDirect	0195-6663	1095-8304	0	0	2	0	2	0	2	1	7	0	2	2	18	6	12
Applications of Surface Science	Elsevier	ScienceDirect	0378-5963		0	1	2	0	0	1	0	0	0	3	0	7	14	0	14
Applied Acoustics	Elsevier	ScienceDirect	0003-682X		0	0	0	0	0	2	0	0	0	0	0	0	2	0	2
Applied Acoustics	Elsevier	ScienceDirect	0003-682X		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Applied and Computational Harmonic Analysis	Elsevier	ScienceDirect	1063-5203	1096-603X	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Applied and Preventive Psychology	Elsevier	ScienceDirect	0962-1849		0	0	1	3	1	1	0	4	0	4	2	0	16	0	16
Applied Animal Behaviour Science	Elsevier	ScienceDirect	0168-1591		0	0	0	2	0	0	2	0	4	0	1	3	12	6	6
Applied Animal Ethology	Elsevier	ScienceDirect	0304-3762		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Applied Behavioral Science Review	Elsevier	ScienceDirect	1068-8595		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Applied Catalysis A: General	Elsevier	ScienceDirect	0926-860X	1873-3875	12	27	27	18	14	7	32	21	24	9	13	10	214	106	108
Applied Catalysis B: Environmental	Elsevier	ScienceDirect	0926-3373	1873-3883	3	8	3	6	8	5	2	6	1	3	10	6	61	34	27
Applied Clay Science	Elsevier	ScienceDirect	0169-1317		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Applied Energy	Elsevier	ScienceDirect	0306-2619		0	0	0	0	0	0	0	6	0	0	0	0	6	2	4
Applied Ergonomics	Elsevier	ScienceDirect	0003-6870		0	0	1	0	1	3	0	0	4	0	14	2	25	14	11
Applied Geochemistry	Elsevier	ScienceDirect	0883-2927		1	0	0	0	1	0	0	0	0	2	1	1	6	3	3
Applied Geography	Elsevier	ScienceDirect	0143-6228		0	0	0	1	0	0	0	0	0	0	0	0	1	1	0
Applied Mathematical Modelling	Elsevier	ScienceDirect	0307-904X		0	20	1	0	0	0	0	2	0	0	3	0	26	15	11
Applied Mathematical Modelling	Elsevier	ScienceDirect	0307-904X		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Applied Mathematics and Computation	Elsevier	ScienceDirect	0096-3003	1873-5649	0	0	1	2	1	0	0	1	0	4	3	0	12	3	9
Applied Mathematics Letters	Elsevier	ScienceDirect	0893-9659		0	2	4	0	1	0	1	0	5	0	4	0	17	8	9
Applied Numerical Mathematics	Elsevier	ScienceDirect	0168-9274		3	0	0	0	0	0	1	0	1	0	2	4	11	0	11
Applied Ocean Research	Elsevier	ScienceDirect	0141-1187		0	0	1	0	0	0	0	0	0	0	0	0	1	1	0
Applied Radiation and Isotopes	Elsevier	ScienceDirect	0969-8043		4	8	0	0	0	0	0	0	3	0	2	0	17	7	10
Applied Research in Mental Retardation	Elsevier	ScienceDirect	0270-3092		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Applied Soft Computing	Elsevier	ScienceDirect	1568-4946		0	1	0	0	0	0	0	0	0	0	0	0	1	0	1
Applied Soil Ecology	Elsevier	ScienceDirect	0929-1393		0	0	2	1	0	0	0	0	0	0	0	0	3	2	1
Applied Surface Science	Elsevier	ScienceDirect	0169-4332		18	49	44	35	32	13	18	28	31	44	36	26	374	204	170
Applied Thermal Engineering	Elsevier	ScienceDirect	1359-4311		0	0	0	68	0	4	0	0	0	8	2	0	82	44	38
APS Journal	Elsevier	ScienceDirect	1058-9139		0	0	0	1	0	0	0	0	0	0	0	0	1	0	1
Aquacultural Engineering	Elsevier	ScienceDirect	0144-8609		0	0	0	0	0	0	0	0	0	0	2	0	2	0	2
Aquaculture	Elsevier	ScienceDirect	0044-8486		0	0	0	1	2	1	3	0	0	5	17	0	29	7	22
Aquatic Botany	Elsevier	ScienceDirect	0304-3770		2	1	2	2	2	20	0	9	0	0	0	0	38	14	24
Aquatic Living Resources	Elsevier	ScienceDirect	0990-7440		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aquatic Toxicology	Elsevier	ScienceDirect	0166-445X		0	0	0	2	0	5	0	0	0	0	0	0	7	5	2
Aquatic Toxicology	Elsevier	ScienceDirect	0166-445X		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arabian Journal of Chemistry	Elsevier	ScienceDirect	1878-5352		0	1	0	2	4	0	1	0	0	1	4	5	18	12	6
Archives de P̩diatrie	Elsevier	ScienceDirect	0929-693X		0	1	0	0	0	1	0	0	0	2	0	0	4	1	3
Archives de P̩diatrie	Elsevier	ScienceDirect	0929-693X		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archives of Biochemistry and Biophysics	Elsevier	ScienceDirect	0003-9861	1096-0384	24	18	14	16	17	5	11	14	10	12	10	4	155	21	134
Archives of Cardiovascular Diseases	Elsevier	ScienceDirect	1875-2136		1	2	0	0	0	0	2	0	0	0	0	0	5	2	3
Archives of Clinical Neuropsychology	Elsevier	ScienceDirect	0887-6177		11	8	1	1	0	9	3	7	21	2	10	3	76	47	29
Archives of Gerontology and Geriatrics	Elsevier	ScienceDirect	0167-4943		0	1	0	0	0	1	0	0	0	1	1	3	7	3	4
Archives of Medical Research	Elsevier	ScienceDirect	0188-4409		0	0	2	0	0	0	2	1	0	1	0	0	6	3	3
Archives of Oral Biology	Elsevier	ScienceDirect	0003-9969		32	32	23	22	18	25	48	11	49	16	34	8	318	121	197
Archives of Physical Medicine and Rehabilitation	Elsevier	ScienceDirect	0003-9993	1532-821X	2	13	4	2	10	3	5	9	1	7	6	8	70	35	35
Art Psychotherapy	Elsevier	ScienceDirect	0090-9092		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arthropod Structure & Development	Elsevier	ScienceDirect	1467-8039		0	0	0	4	2	1	0	0	3	2	0	1	13	10	3
Arthroscopy: The Journal of Arthroscopic & Related Surgery	Elsevier	ScienceDirect	0749-8063	1526-3231	34	14	23	20	15	24	41	15	42	30	28	44	330	151	179
Artificial Intelligence	Elsevier	ScienceDirect	0004-3702		3	0	2	1	0	1	1	5	2	3	0	1	19	0	19
Artificial Intelligence in Medicine	Elsevier	ScienceDirect	0933-3657		13	0	0	0	0	3	0	1	5	0	1	0	23	7	16
Asian Journal of Pharmaceutical Sciences	Elsevier	ScienceDirect	1818-0876		0	0	0	0	0	0	0	0	0	0	5	0	5	3	2
Assessing Writing	Elsevier	ScienceDirect	1075-2935		3	0	0	0	0	0	0	0	0	0	0	0	3	2	1
Astronomy Quarterly	Elsevier	ScienceDirect	0364-9229		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Astroparticle Physics	Elsevier	ScienceDirect	0927-6505		0	0	0	0	0	0	0	0	0	1	0	0	1	0	1
Atherosclerosis	Elsevier	ScienceDirect	0021-9150		22	18	38	14	22	11	14	13	10	19	22	24	227	123	104
Atherosclerosis Supplements	Elsevier	ScienceDirect	1567-5688		0	1	2	1	2	0	0	0	0	2	2	2	12	5	7
Atmospheric Environment	Elsevier	ScienceDirect	1352-2310		1	1	0	1	0	0	1	1	3	3	5	0	16	9	7
Atmospheric Environment (1967)	Elsevier	ScienceDirect	0004-6981		0	0	0	0	0	0	0	0	0	0	1	0	1	0	1
Atmospheric Environment. Part A. General Topics	Elsevier	ScienceDirect	0960-1686		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atmospheric Environment. Part B. Urban Atmosphere	Elsevier	ScienceDirect	0957-1272		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atmospheric Research	Elsevier	ScienceDirect	0169-8095		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atmospheric Science Letters	Elsevier	ScienceDirect	1530-261X		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atomic Data and Nuclear Data Tables	Elsevier	ScienceDirect	0092-640X	1090-2090	0	6	0	0	1	3	1	0	1	0	0	0	12	1	11
Atomic Data and Nuclear Data Tables	Elsevier	ScienceDirect	0092-640X	1090-2090	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Auris Nasus Larynx	Elsevier	ScienceDirect	0385-8146		0	0	1	0	2	0	0	0	0	0	0	2	5	3	2
Australian College of Midwives Incorporated Journal	Elsevier	ScienceDirect	1031-170X		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Autoimmunity Reviews	Elsevier	ScienceDirect	1568-9972		0	0	0	1	3	0	0	0	0	4	0	0	8	5	3
Automatica	Elsevier	ScienceDirect	0005-1098		0	0	0	0	2	1	0	0	2	10	0	0	15	8	7
Autonomic Neuroscience	Elsevier	ScienceDirect	1566-0702		2	2	5	0	0	10	5	6	0	1	4	0	35	18	17
Bailli̬re's Clinical Anaesthesiology	Elsevier	ScienceDirect	0950-3501		0	0	0	0	0	0	0	2	0	1	2	0	5	0	5
Bailli̬re's Clinical Endocrinology and Metabolism	Elsevier	ScienceDirect	0950-351X		1	0	1	0	0	0	0	0	0	0	0	0	2	0	2
Bailli̬re's Clinical Endocrinology and Metabolism	Elsevier	ScienceDirect	0950-351X		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bailli̬re's Clinical Gastroenterology	Elsevier	ScienceDirect	0950-3528		0	0	0	1	0	0	0	0	0	0	0	3	4	0	4
Bailli̬re's Clinical Haematology	Elsevier	ScienceDirect	0950-3536		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bailli̬re's Clinical Obstetrics and Gynaecology	Elsevier	ScienceDirect	0950-3552		0	1	0	0	0	0	0	0	0	0	0	0	1	0	1
Bailli̬re's Clinical Rheumatology	Elsevier	ScienceDirect	0950-3579		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Basic and Applied Ecology	Elsevier	ScienceDirect	1439-1791		7	13	13	19	9	6	6	14	12	8	9	21	137	81	56
Behavior Therapy	Elsevier	ScienceDirect	0005-7894		5	3	1	2	4	5	1	3	4	3	4	1	36	1	35
Behavioral and Neural Biology	Elsevier	ScienceDirect	0163-1047		2	5	1	0	3	0	3	0	1	1	0	0	16	0	16
Behavioral Biology	Elsevier	ScienceDirect	0091-6773		5	0	0	2	0	1	1	0	0	0	0	1	10	0	10
Behaviour Research and Therapy	Elsevier	ScienceDirect	0005-7967		44	30	36	17	20	13	28	10	38	34	35	41	346	146	200
Behavioural Brain Research	Elsevier	ScienceDirect	0166-4328		54	82	26	23	16	24	71	36	36	26	36	46	476	258	218
Behavioural Processes	Elsevier	ScienceDirect	0376-6357		2	1	1	5	3	2	4	0	0	1	0	3	22	9	13
Best Practice & Research Clinical Anaesthesiology	Elsevier	ScienceDirect	1521-6896		0	0	0	0	0	0	0	0	0	0	2	0	2	0	2
Best Practice & Research Clinical Endocrinology & Metabolism	Elsevier	ScienceDirect	1521-690X		0	4	0	0	2	6	0	0	2	0	0	0	14	7	7
Best Practice & Research Clinical Endocrinology & Metabolism	Elsevier	ScienceDirect	1521-690X		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Best Practice & Research Clinical Gastroenterology	Elsevier	ScienceDirect	1521-6918		0	1	1	1	1	0	0	0	1	0	2	5	12	2	10
Best Practice & Research Clinical Haematology	Elsevier	ScienceDirect	1521-6926		0	1	0	0	0	0	0	0	0	0	0	0	1	0	1
Best Practice & Research Clinical Obstetrics & Gynaecology	Elsevier	ScienceDirect	1521-6934		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Best Practice & Research Clinical Rheumatology	Elsevier	ScienceDirect	1521-6942		0	6	2	0	0	0	0	0	1	1	0	2	12	5	7
Biobehavioral Reviews	Elsevier	ScienceDirect	0147-7552		0	0	0	0	0	0	1	0	0	0	0	0	1	0	1
Biochemical and Biophysical Research Communications	Elsevier	ScienceDirect	0006-291X	1090-2104	193	186	168	197	128	190	223	148	138	195	153	127	2046	1081	965
Biochemical and Molecular Medicine	Elsevier	ScienceDirect	1077-3150		0	0	0	0	1	1	0	0	0	0	0	0	2	0	2
Biochemical Education	Elsevier	ScienceDirect	0307-4412		0	1	0	0	0	0	0	0	0	0	0	0	1	0	1
