Journal Report 1 (R3)	Number of Successful Full-Text Article Requests by Month and Journal																		
Account:C000032338:Regensburg University Library																			
Date run:																			
2014-07-18																			
	Publisher	Platform	Print ISSN	Online ISSN	Jan-2013	Feb-2013	Mar-2013	Apr-2013	May-2013	Jun-2013	Jul-2013	Aug-2013	Sep-2013	Oct-2013	Nov-2013	Dec-2013	YTD Total	YTD HTML	YTD PDF
Tetrahedron Computer Methodology	Elsevier	ScienceDirect	0898-5529		0	0	1	0	0	0	0	0	0	0	0	0	1	0	1
Tetrahedron Letters	Elsevier	ScienceDirect	0040-4039		537	365	400	376	394	330	411	365	348	281	453	204	4464	1745	2719
Tetrahedron: Asymmetry	Elsevier	ScienceDirect	0957-4166	1362-511X	67	59	34	93	50	52	144	146	36	89	84	45	899	454	445
The American Journal of Cardiology	Elsevier	ScienceDirect	0002-9149		55	44	90	48	46	21	27	33	35	54	99	38	590	289	301
The American Journal of Emergency Medicine	Elsevier	ScienceDirect	0735-6757	1532-8171	1	0	0	2	0	0	3	0	1	2	3	3	15	2	13
The American Journal of Evaluation	Elsevier	ScienceDirect	1098-2140		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The American Journal of Gastroenterology	Elsevier	ScienceDirect	0002-9270		0	0	2	0	0	0	6	1	1	3	0	0	13	7	6
The American Journal of Human Genetics	Elsevier	ScienceDirect	0002-9297	1537-6605	8	28	23	17	25	54	25	50	14	25	52	31	352	204	148
The American Journal of Medicine	Elsevier	ScienceDirect	0002-9343		27	26	29	27	26	39	32	14	25	12	31	19	307	149	158
The American Journal of Medicine Supplements	Elsevier	ScienceDirect	1548-2766		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The American Journal of Pathology	Elsevier	ScienceDirect	0002-9440	1525-2191	115	114	72	106	123	79	81	73	53	84	67	51	1018	607	411
The American Journal of Surgery	Elsevier	ScienceDirect	0002-9610		25	20	33	19	23	10	19	30	27	27	56	15	304	159	145
The Annals of Occupational Hygiene	Elsevier	ScienceDirect	0003-4878		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Annals of Thoracic Surgery	Elsevier	ScienceDirect	0003-4975		122	57	95	64	76	58	50	51	61	90	205	89	1018	438	580
The Arts in Psychotherapy	Elsevier	ScienceDirect	0197-4556		1	0	0	0	0	1	0	0	0	3	0	0	5	0	5
The Asia Pacific Journal of Thoracic & Cardiovascular Surgery	Elsevier	ScienceDirect	1324-2881		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The AustralAsian Journal of Cardiac and Thoracic Surgery	Elsevier	ScienceDirect	1037-2091		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Brazilian Journal of Infectious Diseases	Elsevier	ScienceDirect	1413-8670		0	0	0	0	0	0	1	0	0	0	0	0	1	0	1
The Breast	Elsevier	ScienceDirect	0960-9776		0	13	5	9	3	5	0	2	3	5	4	12	61	35	26
The British Accounting Review	Elsevier	ScienceDirect	0890-8389	1095-8347	0	1	0	1	0	1	1	1	0	0	0	0	5	1	4
The British Journal of Animal Behaviour	Elsevier	ScienceDirect	0950-5601		0	0	0	0	0	0	1	0	2	0	0	0	3	0	3
The Chemical Engineering Journal and the Biochemical Engineering Journal	Elsevier	ScienceDirect	0923-0467		0	0	0	1	0	0	0	0	0	0	0	0	1	0	1
The Columbia Journal of World Business	Elsevier	ScienceDirect	0022-5428		0	0	0	0	2	0	0	0	0	0	0	0	2	0	2
The Cornell Hotel and Restaurant Administration Quarterly	Elsevier	ScienceDirect	0010-8804		1	0	1	0	0	0	0	0	0	0	0	0	2	0	2
The Egyptian Journal of Aquatic Research	Elsevier	ScienceDirect	1687-4285		0	0	0	0	0	0	0	0	3	0	0	0	3	1	2
The Electricity Journal	Elsevier	ScienceDirect	1040-6190		0	0	0	0	0	0	0	0	1	0	1	0	2	1	1
The Environmentalist	Elsevier	ScienceDirect	0251-1088		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The ESP Journal	Elsevier	ScienceDirect	0272-2380		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Foot	Elsevier	ScienceDirect	0958-2592		4	0	1	4	0	0	0	0	0	0	0	0	9	4	5
The Hand	Elsevier	ScienceDirect	0072-968X		1	0	0	0	0	0	0	0	0	0	0	0	1	0	1
The Hand	Elsevier	ScienceDirect	0072-968X		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The History of the Family	Elsevier	ScienceDirect	1081-602X		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The International Information & Library Review	Elsevier	ScienceDirect	1057-2317	1095-9297	0	0	0	0	0	0	0	2	0	0	1	0	3	0	3
The International Journal of Accounting	Elsevier	ScienceDirect	0020-7063		6	1	6	4	3	7	3	5	0	2	0	0	37	16	21
The International Journal of Applied Radiation and Isotopes	Elsevier	ScienceDirect	0020-708X		4	2	0	0	0	0	0	1	1	0	0	0	8	0	8
The International Journal of Applied Radiation and Isotopes	Elsevier	ScienceDirect	0020-708X		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The International Journal of Biochemistry & Cell Biology	Elsevier	ScienceDirect	1357-2725		76	52	38	63	51	71	41	45	55	54	56	27	629	382	247
The International Journal of Management Education	Elsevier	ScienceDirect	1472-8117		0	0	0	0	1	0	1	0	0	0	0	0	2	1	1
The International Journal of Nautical Archaeology	Elsevier	ScienceDirect	1057-2414		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Internet and Higher Education	Elsevier	ScienceDirect	1096-7516		0	0	0	7	3	0	0	0	0	1	0	0	11	3	8
The Journal of Academic Librarianship	Elsevier	ScienceDirect	0099-1333		6	0	0	0	0	0	0	0	0	4	0	1	11	6	5
The Journal of Arthroplasty	Elsevier	ScienceDirect	0883-5403	1532-8406	30	12	49	38	15	25	28	23	36	39	26	83	404	187	217
The Journal of Basic & Applied Zoology	Elsevier	ScienceDirect	2090-9896		0	0	0	0	0	0	1	0	0	0	0	0	1	1	0
The Journal of Chemical Thermodynamics	Elsevier	ScienceDirect	0021-9614	1096-3626	6	20	13	11	4	9	4	28	10	14	15	4	138	65	73
The Journal of Emergency Medicine	Elsevier	ScienceDirect	0736-4679		3	4	12	4	4	6	0	10	8	4	6	4	65	36	29
The Journal of Hand Surgery	Elsevier	ScienceDirect	0363-5023	1531-6564	20	5	25	31	14	28	33	5	30	24	19	19	253	100	153
The Journal of Hand Surgery: British & European Volume	Elsevier	ScienceDirect	0266-7681		2	3	5	3	4	2	3	1	2	2	0	1	28	7	21
The Journal of Hand Surgery: European Volume	Elsevier	ScienceDirect	1753-1934		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Journal of Heart and Lung Transplantation	Elsevier	ScienceDirect	1053-2498		48	58	88	23	55	49	63	9	18	13	29	15	468	270	198
The Journal of High Technology Management Research	Elsevier	ScienceDirect	1047-8310		3	2	0	1	3	7	4	1	2	3	2	3	31	14	17
The Journal of Logic and Algebraic Programming	Elsevier	ScienceDirect	1567-8326		1	0	0	0	0	0	0	0	0	0	0	0	1	0	1
The Journal of Logic Programming	Elsevier	ScienceDirect	0743-1066		0	0	0	0	0	0	2	0	0	0	0	0	2	0	2
The Journal of Mathematical Behavior	Elsevier	ScienceDirect	0732-3123		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Journal of Molecular Diagnostics	Elsevier	ScienceDirect	1525-1578		0	0	0	3	1	0	2	2	4	0	2	0	14	6	8
The Journal of Nutritional Biochemistry	Elsevier	ScienceDirect	0955-2863		1	0	11	1	3	5	0	5	0	2	0	0	28	9	19
The Journal of Pain	Elsevier	ScienceDirect	1526-5900		2	3	2	1	2	0	2	1	3	2	1	3	22	11	11
The Journal of Pediatrics	Elsevier	ScienceDirect	0022-3476	1097-6833	15	34	14	22	24	57	19	26	8	31	26	13	289	122	167
The Journal of Prosthetic Dentistry	Elsevier	ScienceDirect	0022-3913	1097-6841	20	24	20	14	35	20	27	45	14	38	18	33	308	102	206
The Journal of Social Studies Research	Elsevier	ScienceDirect	0885-985X		0	0	0	0	0	0	0	0	0	0	1	0	1	1	0
The Journal of Socio-Economics	Elsevier	ScienceDirect	1053-5357		3	0	3	2	0	1	1	0	0	0	8	0	18	6	12
